start,stop
3332,4484
5652,6764
7976,9024
10196,11784
12368,13532
14668,15840
17076,18164
19384,20532
21804,22936
24012,25124
26316,27536
28844,30024
31440,32652
33952,35248
36996,38096
39224,40424
41556,42608
43836,44948
46188,47340
48556,49800
50944,52164
53460,54628
55948,57124
58332,59496
60896,62264
63580,64924
66312,67472
68748,70036
71324,72596
74716,75932
77088,78248
79492,80480
81756,82760
83872,85000
86140,87364
88508,89644
90824,91932
93172,94288
95436,96612
98300,99440
100688,101896
103188,104384
105704,106932
108188,109356
110816,112228
113344,114552
115700,116788
118100,119140
120436,121652
122744,124072
